key,translation,options,desc_en,desc_vi,chapter,status,notes
"ahmad"                                                      , "Ahmad"                                                      , "", "", "", 1, "approved", "Tên riêng, không dịch"
"anthropocene"                                               , "Kỷ Nhân Sinh"                                               , "", "approved", "", 1, "approved", ""
"anthropological advocacy"                                   , "anthropological advocacy"                                   , "", "", "", 1, "approved", "Tên riêng, không dịch"
"applied anthropology"                                       , "applied anthropology"                                       , "", "", "", 1, "approved", "Tên riêng, không dịch"
"archaeoastronomy"                                           , "khảo cổ học thiên văn"                                      , "", "approved", "", 1, "approved", ""
"archaeology"                                                , "khảo cổ học"                                                , "", "approved", "", 1, "approved", ""
"artifacts"                                                  , "hiện vật"                                                   , "", "approved", "", 1, "approved", ""
"baca"                                                       , "Baca"                                                       , "", "", "", 1, "approved", "Tên riêng, không dịch"
"ball"                                                       , "Ball"                                                       , "", "", "", 1, "approved", "Tên riêng, không dịch"
"bayly"                                                      , "Bayly"                                                      , "", "", "", 1, "approved", "Tên riêng, không dịch"
"benedict"                                                   , "Benedict"                                                   , "", "", "", 1, "approved", "Tên riêng, không dịch"
"biological anthropology"                                    , "nhân chủng học sinh học"                                    , "", "approved", "", 1, "approved", ""
"boas"                                                       , "Boas"                                                       , "", "", "", 1, "approved", "Tên riêng, không dịch"
"brahmins"                                                   , "Brahmins"                                                   , "", "", "", 1, "approved", "Tên riêng, không dịch"
"carr"                                                       , "Carr"                                                       , "", "", "", 1, "approved", "Tên riêng, không dịch"
"caste"                                                      , "caste"                                                      , "", "", "", 1, "approved", "Tên riêng, không dịch"
"central narrative"                                          , "central narrative"                                          , "", "", "", 1, "approved", "Tên riêng, không dịch"
"climate change"                                             , "climate change"                                             , "", "", "", 1, "approved", "Tên riêng, không dịch"
"collaborative ethnography"                                  , "Collaborative ethnography"                                  , "", "", "", 1, "approved", "Tên riêng, không dịch"
"colón"                                                      , "Colón"                                                      , "", "", "", 1, "approved", "Tên riêng, không dịch"
"colonial system"                                            , "colonial system"                                            , "", "", "", 1, "approved", "Tên riêng, không dịch"
"colonialism"                                                , "colonialism"                                                , "", "", "", 1, "approved", "Tên riêng, không dịch"
"commitment"                                                 , "commitment"                                                 , "", "", "", 1, "approved", "Tên riêng, không dịch"
"covid-19"                                                   , "COVID-19"                                                   , "", "", "", 1, "approved", "Tên riêng, không dịch"
"cross-cultural insight"                                     , "cross-cultural insight"                                     , "", "", "", 1, "approved", "Tên riêng, không dịch"
"cultural anthropology"                                      , "nhân học văn hóa"                                           , "", "approved", "", 1, "approved", ""
"cultural change"                                            , "cultural change"                                            , "", "", "", 1, "approved", "Tên riêng, không dịch"
"cultural other"                                             , "văn hóa khác"                                               , "", "approved", "", 1, "approved", ""
"cultural relativism"                                        , "chủ nghĩa tương đối văn hóa"                                , "", "approved", "", 1, "approved", ""
"dalits"                                                     , "dalits"                                                     , "", "", "", 1, "approved", "Tên riêng, không dịch"
"dillehay"                                                   , "Dillehay"                                                   , "", "", "", 1, "approved", "Tên riêng, không dịch"
"egocentric"                                                 , "egocentric"                                                 , "", "", "", 1, "approved", "Tên riêng, không dịch"
"enculturation"                                              , "sự hội nhập văn hóa"                                        , "", "approved", "", 1, "approved", ""
"engaged anthropology"                                       , "engaged anthropology"                                       , "", "", "", 1, "approved", "Tên riêng, không dịch"
"ethnobotanists"                                             , "Ethnobotanists"                                             , "", "", "", 1, "approved", "Tên riêng, không dịch"
"ethnobotany"                                                , "thực vật học dân tộc"                                       , "", "approved", "", 1, "approved", ""
"ethnocentric bias"                                          , "ethnocentric bias"                                          , "", "", "", 1, "approved", "Tên riêng, không dịch"
"ethnocentrism"                                              , "chủ nghĩa vị chủng"                                         , "", "approved", "", 1, "approved", ""
"ethnography"                                                , "dân tộc học"                                                , "", "approved", "", 1, "approved", ""
"excavation"                                                 , "moi lên"                                                    , "", "approved", "", 1, "approved", ""
"fajada butte"                                               , "Fajada Butte"                                               , "", "", "", 1, "approved", "Tên riêng, không dịch"
"female genital cutting (fgc)"                               , "female genital cutting (FGC)"                               , "", "", "", 1, "approved", "Tên riêng, không dịch"
"flesche"                                                    , "Flesche"                                                    , "", "", "", 1, "approved", "Tên riêng, không dịch"
"fletcher"                                                   , "Fletcher"                                                   , "", "", "", 1, "approved", "Tên riêng, không dịch"
"forensic anthropology"                                      , "nhân chủng học pháp y"                                      , "", "approved", "", 1, "approved", ""
"fossils"                                                    , "fossils"                                                    , "", "", "", 1, "approved", "Tên riêng, không dịch"
"fuentes"                                                    , "Fuentes"                                                    , "", "", "", 1, "approved", "Tên riêng, không dịch"
"genetic markers"                                            , "genetic markers"                                            , "", "", "", 1, "approved", "Tên riêng, không dịch"
"great depression"                                           , "Great Depression"                                           , "", "", "", 1, "approved", "Tên riêng, không dịch"
"healthy talk"                                               , "healthy talk"                                               , "", "", "", 1, "approved", "Tên riêng, không dịch"
"heatherington"                                              , "Heatherington"                                              , "", "", "", 1, "approved", "Tên riêng, không dịch"
"holism"                                                     , "chủ nghĩa toàn diện"                                        , "", "approved", "", 1, "approved", ""
"hominins"                                                   , "người tiền sử"                                              , "", "approved", "", 1, "approved", ""
"horse"                                                      , "Horse"                                                      , "", "", "", 1, "approved", "Tên riêng, không dịch"
"insider’s point of view"                                    , "quan điểm của người trong cuộc"                             , "", "approved", "", 1, "approved", ""
"isbell"                                                     , "Isbell"                                                     , "", "", "", 1, "approved", "Tên riêng, không dịch"
"jablonski"                                                  , "Jablonski"                                                  , "", "", "", 1, "approved", "Tên riêng, không dịch"
"jati"                                                       , "jati"                                                       , "", "", "", 1, "approved", "Tên riêng, không dịch"
"kelso"                                                      , "Kelso"                                                      , "", "", "", 1, "approved", "Tên riêng, không dịch"
"kiowa"                                                      , "Kiowa"                                                      , "", "", "", 1, "approved", "Tên riêng, không dịch"
"kirsch"                                                     , "Kirsch"                                                     , "", "", "", 1, "approved", "Tên riêng, không dịch"
"kshatriyas"                                                 , "Kshatriyas"                                                 , "", "", "", 1, "approved", "Tên riêng, không dịch"
"lassiter"                                                   , "Lassiter"                                                   , "", "", "", 1, "approved", "Tên riêng, không dịch"
"leopold ii"                                                 , "Leopold II"                                                 , "", "", "", 1, "approved", "Tên riêng, không dịch"
"linguistic anthropology"                                    , "nhân học ngôn ngữ"                                          , "", "approved", "", 1, "approved", ""
"malinowski"                                                 , "Malinowski"                                                 , "", "", "", 1, "approved", "Tên riêng, không dịch"
