key,translation,options,desc_en,desc_vi,chapter,status,notes
adaptive radiation                                ," ""adaptive radiation""                                "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
afar region                                       ," ""Afar region""                                       "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
allele                                            ," ""allele""                                            "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
allopatric speciation                             ," ""allopatric speciation""                             "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
american association of biological anthropologists," ""American Association of Biological Anthropologists"""," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
american association of physical anthropologists  ," ""American Association of Physical Anthropologists""  "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
analogous structures                              ," ""cấu trúc tương tự""                                 "," """""," ""approved"""," """"", 4," ""approved"""," """""
ancestral characteristics                         ," ""đặc điểm tổ tiên""                                  "," """""," ""approved"""," """"", 4," ""approved"""," """""
angiosperm theory                                 ," ""lý thuyết thực vật hạt kín""                        "," """""," ""approved"""," """"", 4," ""approved"""," """""
arboreal theory                                   ," ""lý thuyết cây cối""                                 "," """""," ""approved"""," """"", 4," ""approved"""," """""
ardipithecus ramidus                              ," ""Ardipithecus ramidus""                              "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
artificial selection                              ," ""lựa chọn nhân tạo""                                 "," """""," ""approved"""," """"", 4," ""approved"""," """""
australopithecus afarensis                        ," ""Australopithecus afarensis""                        "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
australopithecus africanus                        ," ""Australopithecus africanus""                        "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
australopithecus garhi                            ," ""Australopithecus garhi""                            "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
australopithecus sediba                           ," ""Australopithecus sediba""                           "," """""," """""," """"", 4," ""approved"""," ""Tên riêng"," không dịch"""
