term,translation,context,status,notes
"""and"" event","biến cố """"và""""",,approved,
"""or"" event","biến cố """"hoặc""""",,approved,
absolute value of a residual,Giá trị tuyệt đối của phần dư,,approved,
alpha,Mức ý nghĩa α,,approved,
alternative hypothesis,Đối thuyết (Giả thuyết đối lập),,approved,
analysis of variance (anova),Phân tích phương sai,,approved,
and event,"Biến cố ""VÀ"" (Biến cố giao)",,approved,
area to the left,Diện tích bên trái,,approved,
area to the right,Diện tích bên phải,,approved,
assumption,Giả định,,approved,
average,trung bình,,approved,
balanced design,Thiết kế cân bằng,,approved,
bar graph,biểu đồ cột,,approved,
bernoulli trial,phép thử Bernoulli,,approved,
binomial distribution,Phân phối nhị thức,,approved,
binomial probability distribution,phân phối xác suất nhị thức,,approved,
bivariate,Hai biến,,approved,
blinding,làm mù,,approved,
box plots,biểu đồ hộp,,approved,
box-and-whisker plots,biểu đồ hộp và râu,,approved,
box-whisker plots,biểu đồ hộp và râu,,approved,
categorical data,dữ liệu phân loại,,approved,
categorical variables,biến phân loại,,approved,
central limit theorem,Định lý giới hạn trung tâm,,approved,
central limit theorem for means,Định lý giới hạn trung tâm cho giá trị trung bình,,approved,
central limit theorem for sums,Định lý giới hạn trung tâm cho tổng,,approved,
chi-square distribution,Phân phối khi bình phương (χ2),,approved,
cluster sample,mẫu cụm,,approved,
coefficient of determination,Hệ số xác định,,approved,
cohen's d,Cohen's d,,approved,
complement of event a,biến cố đối của biến cố A,,approved,
conditional probability,xác suất có điều kiện,,approved,
confidence interval,Khoảng tin cậy,,approved,
confidence intervals,khoảng tin cậy,,approved,
confidence level,mức tin cậy,,approved,
contingency table,bảng ngẫu nhiên,,approved,
continuity correction factor,Hệ số hiệu chỉnh liên tục,,approved,
continuous,liên tục,,approved,
continuous random variable,biến ngẫu nhiên liên tục,,approved,
control group,nhóm đối chứng,,approved,
convenience sampling,lấy mẫu thuận tiện,,approved,
critical value,Giá trị tới hạn,,approved,
cumulative distribution function (cdf),hàm phân phối tích lũy,,approved,
cumulative relative frequency,tần suất tương đối lũy tích,,approved,
data,dữ liệu,,approved,
degrees of freedom,Bậc tự do,,approved,
degrees of freedom (df),Bậc tự do,,approved,
dependent events,các biến cố phụ thuộc,,approved,
descriptive statistics,thống kê mô tả,,approved,
discrete,rời rạc,,approved,
double-blind experiment,thực nghiệm mù kép,,approved,
empirical rule,Quy tắc thực nghiệm,,approved,
equal standard deviations,Các độ lệch chuẩn bằng nhau,,approved,
equally likely,đồng khả năng,,approved,
error bound,giới hạn sai số,,approved,
error bound for a population mean,giới hạn sai số cho số trung bình quần thể,,approved,
event,biến cố,,approved,
expected value,giá trị kỳ vọng,,approved,
experiment,phép thử,,approved,
experimental unit,đơn vị thực nghiệm,,approved,
explanatory variable,biến giải thích,,approved,
exponential distribution,phân phối mũ,,approved,
extrapolation,Ngoại suy,,approved,
f distribution,Phân phối F,,approved,
f ratio,Tỷ số F,,approved,
fair,cân đối,,approved,
first quartile,tứ phân vị thứ nhất,,approved,
frequency,tần số,,approved,
frequency polygons,đa giác tần số,,approved,
frequency table,bảng tần số,,approved,
geometric distribution,phân phối hình học,,approved,
goodness-of-fit test,Kiểm định mức độ phù hợp,,approved,
histogram,biểu đồ histogram,,approved,
hypergeometric experiment,phép thử siêu bội,,approved,
hypergeometric probability,xác suất siêu bội,,approved,
hypotheses,Các giả thuyết,,approved,
hypothesis test,Kiểm định giả thuyết,,approved,
hypothesis testing,Kiểm định giả thuyết,,approved,
independent,độc lập,,approved,
independent events,các biến cố độc lập,,approved,
independent groups,Các nhóm độc lập,,approved,
inferential statistics,thống kê suy luận,,approved,
