key,translation,options,desc_en,desc_vi,chapter,status,notes
"box plots"                          , "biểu đồ hộp"                       , "", "approved", "", 2, "approved", ""
"box-and-whisker plots"              , "biểu đồ hộp và râu"                , "", "approved", "", 2, "approved", ""
"box-whisker plots"                  , "biểu đồ hộp và râu"                , "", "approved", "", 2, "approved", ""
"first quartile"                     , "tứ phân vị thứ nhất"               , "", "approved", "", 2, "approved", ""
"frequency"                          , "tần số"                            , "", "approved", "", 2, "approved", ""
"frequency polygons"                 , "đa giác tần số"                    , "", "approved", "", 2, "approved", ""
"frequency table"                    , "bảng tần số"                       , "", "approved", "", 2, "approved", ""
"histogram"                          , "biểu đồ histogram"                 , "", "approved", "", 2, "approved", ""
"interquartile range"                , "khoảng tứ phân vị"                 , "", "approved", "", 2, "approved", ""
"intervals"                          , "các khoảng"                        , "", "approved", "", 2, "approved", ""
"mean"                               , "số trung bình"                     , "", "approved", "", 2, "approved", ""
"median"                             , "trung vị"                          , "", "approved", "", 2, "approved", ""
"midpoint"                           , "trung điểm"                        , "", "approved", "", 2, "approved", ""
"mode"                               , "yếu vị"                            , "", "approved", "", 2, "approved", ""
"outlier"                            , "giá trị ngoại lệ"                  , "", "approved", "", 2, "approved", ""
"paired data set"                    , "tập dữ liệu cặp"                   , "", "approved", "", 2, "approved", ""
"percentiles"                        , "bách phân vị"                      , "", "approved", "", 2, "approved", ""
"quartiles"                          , "tứ phân vị"                        , "", "approved", "", 2, "approved", ""
"relative frequency"                 , "tần suất tương đối"                , "", "approved", "", 2, "approved", ""
"sampling distribution"              , "phân phối mẫu"                     , "", "approved", "", 2, "approved", ""
"sampling variability of a statistic", "sự biến thiên mẫu của trị thống kê", "", "approved", "", 2, "approved", ""
"skewed"                             , "bị lệch"                           , "", "approved", "", 2, "approved", ""
"standard deviation"                 , "độ lệch chuẩn"                     , "", "approved", "", 2, "approved", ""
"third quartile"                     , "tứ phân vị thứ ba"                 , "", "approved", "", 2, "approved", ""
"variance"                           , "phương sai"                        , "", "approved", "", 2, "approved", ""
